Account Owner,Inventory in the Description,ID,State,Company,Match status,Website,Unnamed: 7
Beau,,76,Conneticut,"City of Hartford Connecticut, Department of Health and Human Services",No Company Match,https://portal.ct.gov/DPH/Local-Health-Admin/LHA/Hartford-Health-and-Human-Services,
Beau,,77,Conneticut,City of New Haven Department of Parks and Public Works,No Company Match,https://www.newhavenct.gov/government/departments-divisions/parks-and-public-works,
Beau,,81,Conneticut,"New Haven Urban Resources Initiative, Inc.",No Company Match,https://uri.yale.edu/,
Beau,,85,Delaware,Delaware Forest Service Urban and Community Forestry,No Company Match,https://agriculture.delaware.gov/forest-service/urban-and-community/,
Beau,,110,Florida,"Miami-Dade County Department of Parks, Recreation, and Open Spaces",No Company Match,https://www.miamidade.gov/global/recreation/home.page,
Beau,,111,Florida,Osceola County,No Company Match,https://www.osceola.org/,
Beau,,152,Indiana,City of Bloomington,No Company Match,https://www.bloomingtonmn.gov/,
Beau,,157,Indiana,City of Laporte Waste Water,No Company Match,https://www.cityoflaporte.com/departments/laporte-utilities/wastewater-division,
Beau,,161,Indiana,Trustees of Indiana University,No Company Match,https://trustees.iu.edu/index.html,
Beau,,175,Kentucky,"City of Newport, via Urban Canopy Works",No Company Match,https://www.urbancanopyworks.com/newport-kentucky.html,
Beau,INVENTORY,177,Kentucky,Louisville Jefferson County Metro Government,No Company Match,https://louisvilleky.gov/,
Beau,,180,Louisiana,City of Lake Charles,No Company Match,https://www.cityoflakecharles.com/,
Beau,,185,MA,"Maine Department of Agriculture, Conservation and Forestry - Maine Forest Service",No Company Match,https://www.maine.gov/dacf/mfs/,
Beau,,227,Mississippi,Jackson State University Office of Community Engagement,No Company Match,https://www.jsums.edu/cubd/,
Beau,,228,Mississippi,Madison County,No Company Match,https://www.madisoncountytn.gov/,
Beau,,229,Mississippi,Minority Farmers of the South,No Company Match,https://www.blackfarmers.org/,
Beau,,259,New Jersey,City of Jersey City,No Company Match,https://www.jerseycitynj.gov/,
Beau,,260,New Jersey,City of Rahway Department of Public Works,No Company Match,https://www.cityofrahway.org/212/Public-Works,
Beau,,441,National,Urban Sustainability Directotors Network,No Company Match,https://www.usdn.org/,
Beau,INVENTORY,177,Kentucky,Louisville Jefferson County Metro Government,No Company Match,https://louisvilleky.gov/,
Chris,INVENTORY,26,California,City of Chula Vista,No Company Match,https://www.chulavistaca.gov/,
Chris,INVENTORY,56,California,Housing Authority City of Los Angeles,No Company Match,http://www.hacla.org/en,
